(199, '79009F96-10E6-4033-B01C-3F331A0E175C', 'По норме-несв. показ', 'ФЛ', Decimal('-172.800'), '09-2022')
(199, '79009F96-10E6-4033-B01C-3F331A0E175C', 'По прибору', 'ФЛ', Decimal('225.000'), '09-2022')
(199, '79009F96-10E6-4033-B01C-3F331A0E175C', 'По среднему', 'ФЛ', Decimal('-34.090'), '09-2022')
(200, 'A4592CE7-35BC-4886-A8CC-6F8A4E2844AE', 'По норме', 'ФЛ', Decimal('4.050'), '09-2022')
(200, 'A4592CE7-35BC-4886-A8CC-6F8A4E2844AE', 'По прибору', 'ФЛ', Decimal('9.000'), '09-2022')
(201, '46AC7145-8CC3-44C5-ACA2-F6A71BE14763', 'По норме', 'ФЛ', Decimal('6.220'), '09-2022')
(202, 'B613443E-33D7-456B-B124-FDC75ADE2B92', 'По норме', 'ФЛ', Decimal('25.500'), '09-2022')
(202, 'B613443E-33D7-456B-B124-FDC75ADE2B92', 'По прибору', 'ФЛ', Decimal('8.000'), '09-2022')
(203, 'C7755A1D-F9CC-495F-A519-39B7FE31D5EB', 'По норме', 'ФЛ', Decimal('10.200'), '09-2022')
(203, 'C7755A1D-F9CC-495F-A519-39B7FE31D5EB', 'По прибору', 'ФЛ', Decimal('13.000'), '09-2022')
(204, '00B74B10-106D-40A6-8965-7A66A621A0D7', 'По норме', 'ФЛ', Decimal('2.700'), '09-2022')
(205, '3E379747-317C-4A0A-83B3-AAACA82392BD', 'По норме', 'ФЛ', Decimal('3.640'), '09-2022')
(206, 'CFEA2E95-CDC9-4356-ACB4-D1607A948924', 'По норме', 'ФЛ', Decimal('6.143'), '09-2022')
(206, 'CFEA2E95-CDC9-4356-ACB4-D1607A948924', 'По прибору', 'ФЛ', Decimal('1.000'), '09-2022')
(207, '4C0FD639-1F2C-4DA6-BCF6-C4026FCD4288', 'По норме', 'ФЛ', Decimal('10.010'), '09-2022')
(208, '41D03155-D064-437E-9F04-B037825E5C6C', 'по договору', 'ЮР', Decimal('0.000'), '09-2022')
(208, '41D03155-D064-437E-9F04-B037825E5C6C', 'По норме', 'ФЛ', Decimal('31.460'), '09-2022')
(209, '01723A73-6263-4C4D-B660-733670CF0DBA', 'По прибору', 'ФЛ', Decimal('19.000'), '09-2022')
(210, 'BA05A12C-8996-4C8C-AE82-E8FCE1B49DF5', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(210, 'BA05A12C-8996-4C8C-AE82-E8FCE1B49DF5', 'По норме-несв. показ', 'ФЛ', Decimal('25.500'), '09-2022')
(210, 'BA05A12C-8996-4C8C-AE82-E8FCE1B49DF5', 'По прибору', 'ФЛ', Decimal('20.000'), '09-2022')
(210, 'BA05A12C-8996-4C8C-AE82-E8FCE1B49DF5', 'По среднему', 'ФЛ', Decimal('3.598'), '09-2022')
(211, '58C90C85-CADC-4902-B855-A4767DC44701', 'По норме', 'ФЛ', Decimal('27.248'), '09-2022')
(211, '58C90C85-CADC-4902-B855-A4767DC44701', 'По прибору', 'ФЛ', Decimal('8.000'), '09-2022')
(226, 'B8D717DE-A175-41FE-881C-1D2C7F8B5B80', 'По норме', 'ФЛ', Decimal('12.857'), '09-2022')
(226, 'B8D717DE-A175-41FE-881C-1D2C7F8B5B80', 'По прибору', 'ФЛ', Decimal('38.530'), '09-2022')
(226, 'B8D717DE-A175-41FE-881C-1D2C7F8B5B80', 'По среднему', 'ФЛ', Decimal('-9.969'), '09-2022')
(236, 'A8FA4523-38F9-4033-8D3D-A2E3E7243EC0', 'По норме', 'ФЛ', Decimal('47.545'), '09-2022')
(236, 'A8FA4523-38F9-4033-8D3D-A2E3E7243EC0', 'По норме - нет показ', 'ФЛ', Decimal('-15.300'), '09-2022')
(236, 'A8FA4523-38F9-4033-8D3D-A2E3E7243EC0', 'По норме-несв. показ', 'ФЛ', Decimal('91.800'), '09-2022')
